16	38:394
17	40:359
15	40:429
18	45:325
14	45:464
19	54:291
13	53:498
20	65:258
12	65:531
21	80:226
11	80:562
22	98:196
10	98:592
23	119:168
9	119:620
24	142:142
8	143:646
25	169:118
7	169:670
26	197:98
6	197:691
27	227:80
5	227:708
28	258:65
4	258:724
29	291:53
3	291:735
30	325:44
2	325:744
31	360:39
1	360:749
32	395:38
0	395:751
33	430:39
63	430:749
34	464:44
62	464:744
35	498:53
61	498:735
36	531:65
60	531:724
37	563:79
59	563:708
38	593:98
58	593:691
39	621:118
57	621:670
40	646:142
56	647:646
41	670:168
55	670:620
42	691:196
54	691:592
43	709:226
53	709:562
44	724:258
52	724:531
45	736:291
51	735:498
46	744:325
50	744:464
47	749:359
49	749:429
48	751:394
R2	394:523
R1	448:554
R3	340:555
R4	394:648
G1	173:332
G2	227:363
G3	228:424
G4	173:457
S4	394:139
S1	448:232
S3	340:233
S2	394:264
B3	615:331
B4	562:363
B1	562:425
B2	615:456
