16	47:491
17	50:448
15	50:535
18	56:405
14	56:578
19	67:362
13	67:620
20	81:321
12	81:661
21	100:282
11	100:701
22	122:244
10	123:738
23	148:209
9	148:773
24	178:177
8	177:805
25	210:148
7	210:834
26	245:122
6	245:860
27	283:99
5	282:883
28	322:81
4	322:901
29	363:66
3	363:916
30	405:55
2	405:927
31	448:49
1	448:933
32	492:47
0	491:935
33	535:49
63	535:933
34	578:55
62	578:927
35	620:66
61	620:916
36	661:81
60	661:901
37	701:99
59	701:883
38	738:121
58	738:861
39	773:147
57	773:835
40	805:177
56	805:805
41	834:209
55	834:772
42	861:244
54	861:738
43	883:282
53	883:701
44	902:321
52	902:661
45	916:362
51	916:620
46	927:405
50	927:578
47	933:447
49	933:534
48	935:491
R2	423:691
R3	490:652
R1	491:808
R4	558:690
G1	215:414
G4	215:569
G2	282:452
G3	283:528
S4	423:290
S3	491:330
S1	492:174
S2	559:289
B3	700:452
B2	700:529
B4	766:413
B1	766:569
